UID;Link;Updated At;Space - Time;Image;Thumbnail URL;Share URL;Language;Title;Description;Details;Tags;Geo Coordinates;Place Name;Address;Department;Region;City;Start Date;End Date;Timetable;Pricing Info;Program UID
11072015;http://openagenda.com/event/table-ronde-je-participes-tu-participes-ils-achetent;2016-10-06T17:29:26+02:00;Petit Auditorium de l'Ecole nationale supérieure d'architecture de Nantes, le vendredi 14 octobre à 17:00;http://cibul.s3.amazonaws.com/event_table-ronde-je-participes-tu-participes-ils-achetent_206051.jpg;http://cibul.s3.amazonaws.com/evtbevent_table-ronde-je-participes-tu-participes-ils-achetent_206051.jpg;;fr;"Table ronde ""Je participe, tu participes...ils ""achètent""?""";Rencontre autour des nouveaux usages, de la participation  et des nouvelles forme de conception des espaces de vie.  En présence d’architectes et maîtres d’ouvrage.;"Que recouvre aujourd’hui la notion de participation ? S’agit-il d’un mot-valise qui irait du projet de société alternatif engageant une vie en commun particulière à l’accession  à la propriété à moindre coût ? Est-elle toujours pertinente, dans le locatif comme dans l’accession ? Qui voudra de la buanderie collective à la relocation ? Et à la revente ? Comment les dernières opérations en construction sur l’Ile de Nantes se sont-elles saisies de ces questions pour les transcrire en dispositifs et en espaces ?

Cette table ronde sera animée par Jean-Louis Violeau, commissaire de l'exposition ""Architectures habitées de l'île de Nantes, 2010 - 2016"", et également sociologue, spécialiste des questions urbaines et d’architecture et enseignant-chercheur.

Ce rencontre est organisée dans le cadre de l'agence des rencontres urbaines qui propose une programme de visites et de rencontres. [Plus d'information sur le site.](http://iledenantes.rencontres-urbaines.fr/programmation/)";table ronde,architecture,logements,usages,conception,espaces partagés,;47.207528, -1.557113;Petit Auditorium de l'Ecole nationale supérieure d'architecture de Nantes;6 quai François Mitterand, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-10-14;2016-10-14;2016-10-14T17:00:00 2016-10-14T18:30:00;Entrée libre;61985351 30291675 90014930
16116387;http://openagenda.com/event/les-champignons-tuent-encore;2016-10-06T15:54:08+02:00;du vendredi 14 octobre au dimanche 16 octobre à Muséum d'histoire naturelle de nantes;;;;fr;Les champignons tuent encore;Découverte des risques toxicologiques des champignons frais et d'ouvrages rares de mycologie;"Découvrez les risques toxicologiques par des déterminations sur des champignons frais. Parallèlement à cet atelier, la bibliothèque scientifique exposera des ouvrages rares de mycologie. Les ouvrages sélectionnés sont l’œuvre de mycologues prestigieux des siècles passés qui ont marqué l’histoire de la mycologie ; de courtes notices biographiques permettront de retracer l’histoire de cette science encore méconnue.";champignon,mycologie,toxicologie;47.212868, -1.565003;Muséum d'histoire naturelle de nantes;12 Rue Voltaire, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-10-14;2016-10-16;"2016-10-16T10:00:00 2016-10-16T18:00:00;2016-10-15T10:00:00 2016-10-15T18:00:00;2016-10-14T10:00:00 2016-10-14T18:00:00";"Scolaires (&gt;CE2) sur inscription / Tout public en accès libre";27545135 64984403 31778250 30291675 55712967 22126321
74380458;http://openagenda.com/event/enquete-grandeur-nature-du-poison-dans-nos-assiettes;2016-10-06T15:54:08+02:00;Muséum d'histoire naturelle de nantes, le samedi 15 octobre à 14:00;;;;fr;Enquête grandeur nature « du poison dans nos assiettes ? »;Une enquête sur un empoisonnement;Devenez détectives et élucidez l'enquête qui vous sera confiée entre le Muséum et le village des sciences. Qui est responsable de l'empoisonnement ? Pourquoi ? Au programme de cette animation : rencontres de personnages clés, recueil d'indices, vérification des hypothèses, filatures…;enquête,empoisonnement;47.212868, -1.565003;Muséum d'histoire naturelle de nantes;12 Rue Voltaire, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-10-15;2016-10-15;2016-10-15T14:00:00 2016-10-15T17:00:00;Tout public à partir de 8 ans - départ du muséum d'histoire naturelle et arrivée au village des sciences (Ecole d'Architecture);27545135 64984403 31778250 30291675 55712967 22126321
45016454;http://openagenda.com/event/a-la-recherche-des-toxiques;2016-10-06T15:54:08+02:00;du vendredi 14 octobre au dimanche 16 octobre à Muséum d'histoire naturelle de nantes;;;;fr;À la recherche des toxiques !;Apprendre à dépister des substances toxiques;En laboratoire, comme dans la vie de tous les jours, il est souvent nécessaire de dépister des substances toxiques. Invisibles, sournoises et dangereuses, elles sont partout. Venez découvrir comment les matériaux les reconnaissent, les détectent et les mettent hors d'état de nuire !;substances toxiques,matériaux;47.212868, -1.565003;Muséum d'histoire naturelle de nantes;12 Rue Voltaire, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-10-14;2016-10-16;"2016-10-16T10:00:00 2016-10-16T18:00:00;2016-10-15T10:00:00 2016-10-15T18:00:00;2016-10-14T10:00:00 2016-10-14T18:00:00";Scolaires sur inscription / Tout public en accès libre;27545135 64984403 31778250 30291675 55712967 22126321
92264317;http://openagenda.com/event/journee-nationale-de-l-architecture-dans-les-classes-restitution-a-nantes;2016-10-12T12:22:54+02:00;École nationale supérieure d'architecture de Nantes (hall du bâtiment principal), le samedi 15 octobre à 10:00;;;;fr;Journée nationale de l'architecture dans les classes : restitution à Nantes;Expositions et animations autour de l'expérimentation dans les classes de CM2 en Pays de la Loire;"**Le Réseau des maisons de l’architecture organise en Pays de la Loire l’édition pilote de la Journée nationale de l’architecture dans les classes : rendez-vous le 19 novembre 2016 !**

En lançant sa Stratégie nationale de l’architecture, le ministère a fait de la sensibilisation des publics scolaires à l’architecture, et plus généralement à leur cadre de vie, une priorité nationale.  La mesure 2 propose en effet de « Créer une journée nationale de l’architecture dans les classes ».

Pour ce faire, il confie cette année au Réseau des maisons de l’architecture l’expérimentation d’une démarche pédagogique dans les écoles primaires d’une région. L’initiative s’appuie sur les savoir-faire et les pratiques des Maisons de l’architecture, ainsi que sur une étroite collaboration entre architectes et enseignants.

Cette première nationale, se déroulera en novembre 2016 dans les classes de CM2 des Pays de la Loire, sous le pilotage de l’ARDEPA et de la Maison régionale de l’architecture. Le Rectorat et  les acteurs institutionnels nationaux porteurs de la sensibilisation et de la communication de l’architecture y sont étroitement associés : la Fédération nationale des CAUE (Conseil d’Architecture d’Urbanisme et d’Environnement), la Cité de l’architecture et du patrimoine, le collège des directeurs des ENSA et les  Animateurs des Villes &amp; Pays d’Art et d’Histoire.

Le Conseil national et le Conseil régional de l’Ordre des architectes incitent tous les architectes des Pays de la Loire à participer à l’expérimentation « Journée nationale de l’architecture dans les classes » afin de démontrer avec force la portée transdisciplinaire de l’architecture.  Objectifs à atteindre : une généralisation de l’événement dès 2017, et à terme l’inscription de l’architecture dans les programmes scolaires !

**Plusieurs dates et rendez-vous :**

•    Appel aux architectes : mai 2016

•    Appel aux enseignants : septembre 2016

•    Formation des binômes enseignants/architectes : une demi-journée en octobre 2016

•    Journée dans les classes : 2 demi-journées entre le 3 et le 15 novembre 2016

[Restitution publique](http://www.lardepa.com/) : samedi 19 novembre 2016 à l’école nationale supérieure d’architecture de Nantes, avec présentation de maquettes et de cartographies en présence des élèves, des enseignants et des architectes. Animations par le Crédit Mutuel.";,Actions pédagogiques - architecture- enseignants - architectes - sensibilisation - maquettes - cartographies - élèves - Pays de la Loire - Nantes - Ecole nationale d'architecture;47.207528, -1.557113;École nationale supérieure d'architecture de Nantes (hall du bâtiment principal);6 quai François Mitterrand, 44100 Nantes, Loire-Atlantique, Pays de la Loire;Loire-Atlantique;Pays de la Loire;Nantes;2016-10-15;2016-10-15;2016-10-15T10:00:00 2016-10-15T13:30:00;Entrée libre;
50865262;http://openagenda.com/event/talk-de-swann-guillet-ceo-de-magnave;2016-10-14T10:00:48+02:00;Epitech Nantes, le mercredi 26 octobre à 18:00;http://cibul.s3.amazonaws.com/event_talk-de-swann-guillet-ceo-de-magnave_546770.jpg;http://cibul.s3.amazonaws.com/evtbevent_talk-de-swann-guillet-ceo-de-magnave_546770.jpg;;fr;Talk de Swann Guillet, CEO de Magnave;Agence de marketing d'influence;;;47.210298, -1.568163;Epitech Nantes;Rue d'Alger, 44100 Nantes, France;Loire-Atlantique;Pays de la Loire;Nantes;2016-10-26;2016-10-26;2016-10-26T18:00:00 2016-10-26T19:00:00;;44779243 69653526 20017688 75742032 64984403 31778250 69754039 39331700 7454155
75532633;http://openagenda.com/event/gratuit_314;2016-10-17T12:45:12+02:00;MADAME REVE, le vendredi 25 novembre à 20:00;http://cibul.s3.amazonaws.com/event_gratuit_314_634540.jpg;http://cibul.s3.amazonaws.com/evtbevent_gratuit_314_634540.jpg;;fr;GRATUIT;dans le cadre du festival Bar-Bars;"Déroutant et imprévisible : Gratuit ne fait jamais semblant. A découvrir si ce n'est déjà fait. Pour ne jamais oublier.

[https://vimeo.com/125128953](https://vimeo.com/125128953)

[https://www.facebook.com/GRATUIT-178949988635/](https://www.facebook.com/GRATUIT-178949988635/)";Rock;47.214418, -1.555273;MADAME REVE;2 allée Jean Bart, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-25;2016-11-25;2016-11-25T20:00:00 2016-11-25T21:00:00;;32214778 22126321 31778250 74583765 64984403 55712967 30291675 7454155 16338151 63658282 39331700
83430294;http://openagenda.com/event/dj-barbapapa;2016-10-17T12:45:10+02:00;BARABLABLA, le vendredi 25 novembre à 20:00;http://cibul.s3.amazonaws.com/event_dj-barbapapa_119408.jpg;http://cibul.s3.amazonaws.com/evtbevent_dj-barbapapa_119408.jpg;;fr;Dj Barbapapa;dans le cadre du festival Bar-Bars;Dj Barbarpapa en exclusivité au Barablabla le 25 novembre, pour un éklektiktaktok mix unique en son genre. Vinyles only. Des oldies but goodies, des newies but goodies et des inbetweenies sexies, funkies et groovies ! Tous genres, tous styles. Un seul mot d'ordre: la bonne humeur. ( Coq à Light Prod. Nantes).;,mix,vinyles;47.215908, -1.552425;BARABLABLA;4 rue des Chapeliers, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-25;2016-11-25;2016-11-25T20:00:00 2016-11-25T00:00:00;;32214778 74583765 64984403 31778250 22126321 55712967 30291675 16338151 63658282 7454155 39331700
15142580;http://openagenda.com/event/nouch-ma;2016-10-17T12:45:08+02:00;BRADY'S, le vendredi 25 novembre à 20:00;http://cibul.s3.amazonaws.com/event_nouch-ma_256994.jpg;http://cibul.s3.amazonaws.com/evtbevent_nouch-ma_256994.jpg;;fr;Nouch'ma;dans le cadre du festival Bar-Bars;"Nouch'Ma est un duo guitare/violon naviguant entre le swing manouche,balkan,celtique,beat box,électro touch. Ils samplent en live en rejouant par dessus.

[https://soundcloud.com/nouchma-1](https://soundcloud.com/nouchma-1)";musique manouche tzigane & celtique;47.216808, -1.546683;BRADY'S;22 allée Commandant Charcot, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-25;2016-11-25;2016-11-25T20:00:00 2016-11-25T00:00:00;;32214778 74583765 22126321 31778250 64984403 55712967 30291675 16338151 63658282 7454155 39331700
34487448;http://openagenda.com/event/bas-d-plafond;2016-10-17T12:45:06+02:00;TI LICHOUS, le vendredi 25 novembre à 19:30;http://cibul.s3.amazonaws.com/event_bas-d-plafond_203952.jpg;http://cibul.s3.amazonaws.com/evtbevent_bas-d-plafond_203952.jpg;;fr;BAS D'PLAFOND;dans le cadre du festival Bar-Bars;Bas d'Plafond, c'est quelque part entre Babylon Circus et Yves Jamait, ça va de Brassens à la Rue Két', des Karpatt aux Têtes Raides et de Pierre Perret à Mano Solo, en revisitant HK et les saltimbanques...;,Chanson française;47.206577, -1.549125;TI LICHOUS;12 rue Grande Biesse, 44200 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-25;2016-11-25;2016-11-25T19:30:00 2016-11-25T00:00:00;;32214778 74583765 22126321 31778250 64984403 55712967 30291675 16338151 63658282 7454155 39331700
